"iam_work_id","author_abbrev","title_abbrev","author_name","latin_title","modern_title"
"iamwork2","Ael.","Fr.","Aelian","Fragmenta","Fragments"
"iamwork5","Ael. Tact.","Tact.","Aelianus Tacticus","Tactica","Tactics"
"iamwork17","Aët.","Epon.","Aëtius","Eponymous"
"iamwork18","Alc.","Epon.","Alcaeus","Eponymous"
"iamwork21","Alciph.","Epist.","Alciphron","Letters"
"iamwork22","Alcm.","Epon.","Alcman","Eponymous"
"iamwork23","Alex. Polyh.","Epon.","Alexander Polyhistor","Eponymous"
"iamwork24","Amm. Marc.","Epon.","Ammianus Marcellinus","Eponymous"
"iamwork26","Anac.","Epon.","Anacreon","Eponymous"
"iamwork31","Anon.","1 Chr.","Anonymous","1 Chronicles"
"iamwork32","Anon.","1 Kgs.","Anonymous","1 Kings"
"iamwork33","Anon.","1 Sm.","Anonymous","1 Samuel"
"iamwork34","Anon.","2 Chr.","Anonymous","2 Chronicles"
"iamwork35","Anon.","2 Kgs.","Anonymous","2 Kings"
"iamwork36","Anon.","2 Sm.","Anonymous","2 Samuel"
"iamwork37","Anon.","Am.","Anonymous","Amos"
"iamwork38","Anon.","Anth. Pal.","Anonymous","Anthologia Palatina","Anthologia Palatina"
"iamwork39","Anon.","Anth. Plan.","Anonymous","Anthologia Planudea","Anthologia Planudea"
"iamwork40","Anon.","Ath. pol.","Anonymous","Athenaion politeia (Aristotelian)","Constitution of Athens"
"iamwork41","Anon.","Auct. ad Her.","Anonymous","Auctor ad Herennium"
"iamwork42","Anon.","B. Afr.","Anonymous","Bellum Africum"
"iamwork43","Anon.","B. Alex.","Anonymous","Bellum Alexandrinum"
"iamwork44","Anon.","B. Hisp.","Anonymous","Bellum Hispaniense"
"iamwork45","Anon.","Carm. arv.","Anonymous","Carmen arvale"
"iamwork46","Anon.","Carm. epigr.","Anonymous","Carmina epigraphica"
"iamwork47","Anon.","Chron. Marcell.","Anonymous","Marcellinus, Chronicon"
"iamwork48","Anon.","Chron. min.","Anonymous","Chronica minora"
"iamwork49","Anon.","Chron. Pasch.","Anonymous","Chronicon Paschale"
"iamwork50","Anon.","Cod. Iust.","Anonymous","Codex Iustinianus","Justinian Code"
"iamwork51","Anon.","Cod. Theod.","Anonymous","Codex Theodosianus","Theodosian Code"
